BPagST	ptxP	ptxA	ptxB	ptxC	ptxD	ptxE	fhaB24005550	fim2	fim3	23SrRNA
1	13	15	2	2	2	2	21	N	12	1
2	2	4	1	1	1	4	2	2	1	2
3	1	2	1	1	1	4	1	1	1	3
4	3	1	1	4	1	4	1	1	1	4
5	13	15	2	2	2	2	N	N	12	5
6	N	18	5	6	5	6	22	N	14	6
7	1	6	1	1	1	4	1	1	1	7
8	1	1	1	1	1	4	1	1	1	8
9	3	1	1	4	1	4	1	1	2	9
10	38	23	15	8	15	8	24	N	16	10
11	N	24	16	9	16	9	25	N	17	11
12	13	10	2	2	2	2	N	N	12	12
13	40	11	12	11	12	10	27	N	8	13
14	27	27	10	3	10	3	29	N	22	14
15	25	10	13	2	13	10	30	N	23	15
16	28	31	12	12	12	13	32	N	11	16
17	40	11	12	11	12	10	33	N	8	17
18	13	15	2	2	2	2	35	N	12	18
19	13	15	2	2	2	2	37	N	12	19
20	13	15	2	2	2	2	38	N	12	20
21	N	29	5	5	5	12	39	N	14	21
22	13	10	2	2	2	2	40	N	23	22
23	24	11	12	11	12	10	43	N	8	N
24	24	11	12	11	12	10	44	N	8	N
25	40	11	12	11	12	10	46	N	8	N
26	25	15	2	2	2	11	48	N	12	N
27	25	16	2	2	2	2	49	N	18	N
28	23	11	9	7	9	7	50	N	8	N
29	25	10	13	2	13	10	51	N	20	N
30	26	27	14	3	14	3	52	N	12	N
31	N	32	17	13	17	14	53	N	25	N
32	25	15	13	2	13	10	54	N	12	N
33	23	11	9	7	9	7	56	N	8	N
34	1	1	1	1	1	4	1	1	4	N
35	26	27	14	3	14	3	59	N	28	N
36	25	16	2	2	2	2	61	N	12	N
37	1	1	1	1	1	4	3	1	1	N
38	13	15	2	2	2	2	62	N	12	N
39	13	10	2	2	2	2	63	N	23	N
40	39	25	11	10	11	3	64	N	18	N
41	N	17	4	5	4	5	65	N	13	N
42	23	11	9	7	9	7	64	N	18	N
43	25	15	2	2	2	11	66	N	12	N
44	23	11	9	7	9	7	67	N	18	N
45	23	11	9	7	9	7	68	N	8	N
46	40	11	12	11	12	10	69	N	8	N
47	23	11	9	7	9	7	70	N	8	N
48	35	34	20	15	20	10	72	N	12	N
49	13	15	2	2	2	17	73	N	12	N
50	25	15	13	2	13	10	76	N	12	N
51	N	12	19	16	19	16	78	N	9	N
52	40	11	12	11	12	10	79	N	8	N
53	26	27	14	3	14	3	80	N	12	N
54	N	35	19	14	19	16	81	N	9	N
55	25	15	2	2	2	11	82	N	12	N
56	40	11	18	11	18	10	83	N	8	N
57	N	12	22	16	22	16	78	N	33	N
58	40	11	18	11	18	10	27	N	8	N
59	40	11	18	11	18	10	84	N	8	N
60	13	15	2	2	2	2	85	N	12	N
61	36	15	2	2	2	11	86	N	12	N
62	40	11	12	11	12	10	88	N	8	N
63	40	11	18	11	18	10	93	N	8	N
64	25	15	2	2	2	2	96	N	19	N
65	N	36	5	18	5	18	97	N	36	N
66	13	10	2	2	2	2	98	N	12	N
67	N	37	5	19	5	12	97	N	14	N
68	21	1	1	4	1	4	1	1	2	N
69	3	1	1	4	1	4	1	4	1	N
70	1	1	7	1	7	4	1	1	1	N
71	19	1	1	4	1	4	1	1	1	N
72	3	1	1	4	1	4	7	1	2	N
73	N	12	19	14	19	16	100	N	9	N
74	1	1	1	1	1	4	1	3	4	N
75	4	5	6	1	6	4	4	1	1	N
76	1	2	1	1	1	4	5	1	1	N
77	5	1	1	1	1	4	1	1	1	N
78	3	1	1	4	1	4	1	1	3	N
79	1	1	1	1	1	4	1	2	1	N
80	1	1	8	1	8	4	1	1	4	N
81	14	1	1	1	1	4	1	1	1	N
82	4	5	6	1	6	4	6	1	1	N
83	1	19	1	1	1	4	1	1	1	N
84	4	5	6	1	6	4	8	1	1	N
85	4	20	6	1	6	4	4	1	1	N
86	1	1	1	4	1	4	1	1	1	N
